Date,Close
1/10/2022 16:00:00,161.49
1/11/2022 16:00:00,165.36
1/12/2022 16:00:00,165.21
1/13/2022 16:00:00,161.21
1/14/2022 16:00:00,162.14
1/18/2022 16:00:00,158.92
1/19/2022 16:00:00,156.3
1/20/2022 16:00:00,151.67
1/21/2022 16:00:00,142.64
1/24/2022 16:00:00,144.54
1/25/2022 16:00:00,139.99
1/26/2022 16:00:00,138.87
1/27/2022 16:00:00,139.64
1/28/2022 16:00:00,143.98
1/31/2022 16:00:00,149.57
2/1/2022 16:00:00,151.19
2/2/2022 16:00:00,150.61
2/3/2022 16:00:00,138.85
2/4/2022 16:00:00,157.64
2/7/2022 16:00:00,157.94
2/8/2022 16:00:00,161.41
2/9/2022 16:00:00,161.19
2/10/2022 16:00:00,159
2/11/2022 16:00:00,153.29
2/14/2022 16:00:00,155.17
2/15/2022 16:00:00,156.51
2/16/2022 16:00:00,158.1
2/17/2022 16:00:00,154.65
2/18/2022 16:00:00,152.6
2/22/2022 16:00:00,150.2
2/23/2022 16:00:00,144.83
2/24/2022 16:00:00,151.36
2/25/2022 16:00:00,153.79
2/28/2022 16:00:00,153.56
3/1/2022 16:00:00,151.14
3/2/2022 16:00:00,152.05
3/3/2022 16:00:00,147.9
3/4/2022 16:00:00,145.64
3/7/2022 16:00:00,137.45
3/8/2022 16:00:00,136.01
3/9/2022 16:00:00,139.28
3/10/2022 16:00:00,146.82
3/11/2022 16:00:00,145.52
3/14/2022 16:00:00,141.85
3/15/2022 16:00:00,147.37
3/16/2022 16:00:00,153.1
3/17/2022 16:00:00,157.24
3/18/2022 16:00:00,161.25
3/21/2022 16:00:00,161.49
3/22/2022 16:00:00,164.89
3/23/2022 16:00:00,163.41
3/24/2022 16:00:00,163.65
3/25/2022 16:00:00,164.77
3/28/2022 16:00:00,168.99
3/29/2022 16:00:00,169.32
3/30/2022 16:00:00,166.3
3/31/2022 16:00:00,163
4/1/2022 16:00:00,163.56
4/4/2022 16:00:00,168.35
4/5/2022 16:00:00,164.06
4/6/2022 16:00:00,158.76
4/7/2022 16:00:00,157.78
4/8/2022 16:00:00,154.46
4/11/2022 16:00:00,151.12
4/12/2022 16:00:00,150.79
4/13/2022 16:00:00,155.54
4/14/2022 16:00:00,151.71
4/18/2022 16:00:00,152.79
4/19/2022 16:00:00,158.12
4/20/2022 16:00:00,154
4/21/2022 16:00:00,148.3
4/22/2022 16:00:00,144.35
4/25/2022 16:00:00,146.07
4/26/2022 16:00:00,139.39
4/27/2022 16:00:00,138.17
4/28/2022 16:00:00,144.6
4/29/2022 16:00:00,124.28
5/2/2022 16:00:00,124.5
5/3/2022 16:00:00,124.25
5/4/2022 16:00:00,125.93
5/5/2022 16:00:00,116.41
5/6/2022 16:00:00,114.77
5/9/2022 16:00:00,108.79
5/10/2022 16:00:00,108.86
5/11/2022 16:00:00,105.37
5/12/2022 16:00:00,106.93
5/13/2022 16:00:00,113.06
5/16/2022 16:00:00,110.81
5/17/2022 16:00:00,115.37
5/18/2022 16:00:00,107.11
5/19/2022 16:00:00,107.32
5/20/2022 16:00:00,107.59
5/23/2022 16:00:00,107.56
5/24/2022 16:00:00,104.1
5/25/2022 16:00:00,106.78
5/26/2022 16:00:00,111.08